,SVM,DecTree,Percep,SGD,RandF,LogR,KNN,GauNB
608,0,1,1,1,1,1,1,1
609,0,1,1,1,1,1,1,1
610,1,0,1,1,0,0,0,0
611,0,0,1,1,1,1,1,1
612,0,1,1,0,1,1,0,1
613,0,1,1,1,1,1,1,0
614,0,1,1,0,1,1,1,0
615,1,1,0,0,1,1,1,1
616,1,1,1,1,1,1,1,1
617,1,1,1,1,1,1,1,1
618,0,1,1,1,1,1,1,1
619,0,1,1,0,1,1,1,1
620,0,1,1,0,1,1,1,1
621,0,1,1,1,1,1,1,0
622,0,1,1,1,1,1,1,0
623,0,1,1,0,1,1,1,1
624,1,1,1,0,1,1,1,1
625,0,1,1,1,1,1,1,1
626,0,1,1,1,1,1,1,1
627,1,1,1,1,1,1,1,1
628,1,1,1,1,1,0,1,1
629,0,0,1,0,0,0,0,0
630,0,0,1,1,1,0,0,0
631,0,0,1,0,0,0,0,1
632,1,0,1,1,0,0,0,0
633,0,0,1,1,0,0,0,0
634,0,0,1,1,0,0,1,1
635,0,0,1,1,0,0,0,0
636,0,0,1,1,0,1,0,1
637,0,0,1,1,0,0,1,0
638,0,0,1,1,0,0,1,0
639,0,0,1,0,0,0,1,0
640,0,0,1,1,0,0,0,0
641,1,0,1,1,0,0,0,0
642,0,0,1,0,0,0,0,0
643,0,0,0,1,0,0,0,0
644,1,1,1,0,1,1,1,1
645,0,0,0,0,0,0,0,0
646,0,0,1,1,1,1,1,1
647,0,0,0,0,0,0,0,0
648,0,1,1,1,0,1,1,1
649,0,0,0,0,0,0,0,0
650,0,0,1,0,1,1,1,0
651,0,0,1,1,1,0,0,0
652,0,0,0,0,0,0,0,0
653,0,0,0,0,0,0,0,0
654,0,0,1,1,0,0,0,0
655,0,0,0,1,1,0,1,0
656,1,0,1,1,0,0,0,0
657,0,0,0,1,1,1,1,0
658,0,0,1,0,1,1,0,0
659,0,0,1,1,1,1,0,1
660,1,0,1,1,1,1,0,0
661,0,0,0,0,0,0,0,0
662,0,0,1,0,0,1,1,1
663,0,0,0,1,0,0,0,0
664,0,0,1,0,0,0,0,0
665,0,0,1,0,0,0,0,0
666,0,0,0,1,0,0,0,0
667,0,0,0,0,0,0,1,0
668,0,0,0,1,1,0,0,0
669,0,0,1,1,1,1,1,1
670,1,0,1,1,0,0,0,0
671,0,0,1,1,0,0,1,1
672,0,0,0,1,0,1,0,0
673,0,0,1,1,1,1,0,0
674,1,0,1,1,1,1,0,1
675,1,0,0,0,0,0,0,0
676,0,1,1,0,1,1,1,0
