MediaHistogramaR,MediaHistogramaG,MediaHistogramaB,ValorMedioR,ValorMedioG,ValorMedioB,DesvioPadraoR,DesvioPadraoG,DesvioPadraoB,VarianciaR,VarianciaG,VarianciaB,Status
1.03206E+15,2.35002E+15,3.65785E+15,175082515055,15946254001,140459610481,155295772469,212817442515,229661493943,241167769468,452912638388,527444018,1
1.03928E+16,1.9131E+16,330583125,200751840624,167213079255,167181896925,261814371332,140395340557,188469774852,685467650358,197108516501,355208560329,1
1.06007E+15,1.86832E+16,3.52557E+15,229950260266,153222672065,225095720069,22429669302,19332538743,173270116196,503090064999,373747054251,300225331666,1
8.60254E+15,1.84662E+16,3.01368E+16,186153697997,149953389831,138749229584,166419244576,123414316842,103641678318,276953649653,152310936017,107415974846,1
7.82403E+15,1.77103E+15,2.71588E+15,183934390771,167545061283,140326604182,112441935528,53077672676,497430445696,126431888652,28172393367,247437048306,0
8.24161E+15,1.89495E+16,2.97496E+16,174271873666,155864703372,139536491677,124253093572,660312131472,593116034146,154388312623,436012110969,351786629962,0
1.04734E+16,2.20057E+16,3.72799E+16,197912740899,172847698073,176769271949,313597859686,22050978074,28058462382,983436175999,48624563402,787277311242,1
1.04723E+16,2111.0,3.4547E+15,193229965157,162114484818,148977434876,185427155338,172209668877,199560991457,343832299368,296561700548,398245893114,1
8.59821E+15,1.78163E+16,271041059602649,203084437086,177880794702,17841307947,305997363347,102903198903,159747578177,936343863756,105890683444,255192887334,1
727077922077922,1.57297E+15,2.51417E+16,182491071429,156215277778,14026984127,123588025167,507429093295,459724486159,152739999646,257484284722,211346603175,0
7.95711E+15,125605625,2.4093E+16,228557746479,165023943662,215807042254,234099753745,949331655934,909186760126,548026947034,901230592958,826620564789,1
8.2226E+15,1.75528E+16,26926015625,236336754836,16222147651,238368337939,241551419699,140445176196,122189579781,583470883587,197248475168,14930293407,1
44325,1.22875E+16,1.93122E+15,142689086294,152898477157,148402284264,316319014689,831757102869,881240872797,100057719054,691819878173,776585475888,0
8.13267E+15,1.75846E+16,2666.0,188028665932,165156560088,159187982359,23088064345,111604369849,119599619482,533058715199,124555353693,143040689802,1
8.66648E+15,1.54871E+16,2.29209E+16,232549006169,186152844414,233202878684,258934819966,115275796059,118999493609,67047240991,13288509157,141608794791,1
8.00244E+15,1.23003E+16,2.66697E+16,237237612613,123522522523,236245495495,214483158303,970693334452,660783233733,460030251958,94224554955,436634481982,1
6.65105E+15,1.45669E+16,2.41664E+16,181389433551,154315359477,156669389978,368604545923,17392999761,183932713776,135869311275,302516440686,338312431972,1
6.2006E+15,161836690647482,2.49388E+16,162237816764,154804418454,148902534113,25941541707,959119455519,101203230191,672963586137,919910129955,102420938012,1
5.92066E+15,1.1968E+16,2.13087E+16,196834114339,138588566073,172324273664,461433693238,175903165989,168354857409,212921053256,309419238051,283433580131,1
9.85544E+15,1.54582E+16,3.24041E+16,240980304956,130437102922,240874841169,181524391732,126965557266,726122815859,329511047937,161202527319,52725434371,1
734772972972973,1.63539E+16,2.63893E+16,21325375626,170391068447,20563230384,431832572253,25856636612,247486667513,186479370459,668565656886,612496505968,1
9.52798E+15,198453125,3.24742E+16,225620508326,208296669588,214499561788,318330807615,208295466938,19588446849,101334503077,433870015469,383707249956,1
7.06962E+15,1.73495E+16,2.61863E+16,204798126951,210437044745,225170655567,281509761371,828924870665,942357688188,79247745747,687116441207,888038012487,1
8.42857E+15,1.38463E+16,2.72295E+16,237215417107,133633579725,236780359029,206832105955,899271845531,667243819513,427795200539,808689852165,445214314678,1
7.54222E+15,1.44074E+16,2.37057E+16,239371428571,15788487395,237441176471,215369494608,911820830937,863385998469,463840192077,831417227731,745435382353,1
7.31534E+15,97688,1.86578E+16,242527458493,714942528736,17.0,154431003429,285722797903,502358437771,238489348202,816375172414,252364.0,0
70699173553719,1.47147E+16,2.29801E+15,186799015587,16946021329,157663658737,210464886192,789675135954,946610849337,442954683198,623586820345,896072100082,0
586547619047619,1.73232E+16,2.76311E+16,148343258427,171421348315,170984831461,43017577209,160527567376,183258085509,185051194893,257690998876,335835259045,1
9.03971E+15,1.03283E+16,266785,239670384139,699306071871,235965303594,160330483574,105550088299,575001763911,257058639629,1114082114,330627028501,0
7.3585E+15,1.62707E+16,2.75071E+16,179721174764,149237853517,149222262509,402646456691,234038201328,230493139878,162124169086,547738796809,531270875308,0
6.24057E+15,1.25542E+16,2084625,226186163522,168416352201,229022641509,327125550071,103951584279,929852457357,107011125509,108059318742,864625592453,1
860.5,1.78352E+16,2.96744E+16,230816704582,191275268118,227567110822,272403726297,187403624509,174038139257,742037901002,35120118479,302892739162,1
7.4994E+15,1.42626E+16,2.40769E+15,206244626407,190722620266,20316171955,349214432675,114428485531,119541977912,121950719989,130938783009,142902844831,1
6.1781E+15,1.41602E+16,2.21941E+16,174585951941,166685767098,156166358595,255290872209,964553347832,962279613965,651734294334,930363160813,925982055453,0
9.78065E+15,1.54959E+16,2.92475E+16,23308736496,162555659934,225744480977,244137822124,179903742437,150391256317,596032761915,32365356543,226175299765,1
7.37785E+15,1.60588E+16,2.39209E+15,235995366795,195977606178,24027027027,232889516318,928608825383,776809761399,542375268109,862314350579,603433405405,1
7.64385E+15,1.629E+16,2.70169E+15,22093182735,164016942315,207098426785,364093279322,250502600554,21988524243,132563916048,627515528842,483495198386,1
8.13557E+15,1.55822E+16,2.62107E+16,214540867093,190192608387,213002132196,289191874555,118805336712,134852623022,836319403086,141147080313,18185229936,1
8.36006E+15,1.71997E+16,3.09879E+16,20482784154,166000370233,203101073676,431235061342,228034756115,235244200925,185963678131,519998499963,553398340689,1
9.1027E+15,1.5357E+16,3.00201E+15,238759324419,139708655876,238201266714,196569038705,112048801133,775732194588,386393869776,125549338353,60176043772,1
530041450777202,1.18416E+16,2.07489E+16,199674102813,118806013579,189794374394,57083026116,19573715035,195171627225,325847187056,383130320272,380919640737,1
7.83444E+15,1.55122E+16,2.68021E+16,214615702479,18676584022,220680440771,331459495008,137404890221,128588324685,109865396831,188801038567,165349572452,1
9.90848E+15,1.45758E+16,3.43092E+16,237806825939,833146757679,236682593857,175168048371,115134614016,693761779102,3068384517,132559793447,481305406143,0
8.4274E+15,1.88628E+16,3.06073E+16,208933333333,189908877722,218296147404,409545473976,180382128126,21532891598,167727495254,325377121474,46366542057,1
1.00354E+16,1.00431E+16,2.11381E+16,229291485395,183772529521,643561218148,227086321087,11471407967,141305730323,51568197225,131593200746,19967309422,0
7.53232E+15,1.76891E+16,2.77169E+16,168177424694,156227077127,147582257531,25096496327,149841990947,169274593752,629834127893,224526222509,2865388809,1
7.09671E+15,1.47278E+16,2.5026E+16,17823252355,152722855726,145881011403,228003334185,110782041701,124378512724,519855203994,122726607635,154700144274,0
1.09757E+16,1.65532E+16,3.59273E+16,24185186984,108609033511,241521126761,156450089223,144444393175,714569682386,244766304177,208641827198,510609830986,1
7.18952E+15,1.61511E+16,2.71195E+15,172572078217,148353797181,152163256025,277172621978,134325304608,14287555393,768246623739,180432874579,204134239109,1
6.61276E+15,1.5874E+16,2.4343E+15,17433007335,174525672372,157075794621,234544647238,916746388769,968814714535,55011191548,84042394132,9386019511,0
874.0,2.01834E+16,347163125,199874015748,186051968504,21277984252,413795704712,204233112526,216446323829,171226885238,41711164252,468490110992,1
648469696969697,1.40091E+16,224825,194227149321,171254298643,157064253394,25857282957,966220234771,904282277836,668599081919,933581542081,817726438009,1
6.6678E+15,1.35956E+16,2.1316E+16,216513262599,200973474801,227538461538,335583416001,875370475568,858726606444,112616229095,766273469496,737411384615,1
7.25639E+15,1.47813E+16,2.41959E+16,225814011159,179915065096,22554866708,329952391252,159838773892,150744798571,108868580493,255484336392,227239942963,1
6.69023E+15,1.5032E+16,2.61563E+16,179038645245,136186712983,151389926183,451200817878,2424006129,237343840162,203582178054,587580571342,563320984629,1
8.42676E+15,1.65321E+15,2.97805E+16,206093251534,16810797546,196155828221,329125801164,170086830658,150628696457,108323792992,289295299632,226890041963,1
668045918367347,1.46606E+16,256346261682243,192307815846,156595289079,17087366167,401932963791,194593937175,194437501119,161550107382,378668003854,378059418415,1
8.09291E+15,1.40802E+15,2.5006E+15,222398550725,181491847826,228813405797,291637468158,125047987854,967117139541,850524128334,156369992663,935315561594,1
72724,1.70816E+16,3.00166E+16,170239180835,176005409583,166095054096,410998282687,196057285615,205413354403,168919588372,384384592427,421946461669,1
789989010989011,1.667E+16,3.02534E+16,187102768653,17124636321,192086813702,435869465737,184254054482,18938244215,189982191162,339495565931,358657093947,1
695796178343949,1.58808E+16,2.65286E+16,178247181965,167590982287,180111916264,370381175803,125050958373,142404053441,137182215389,1563774219,202789144364,1
9.41374E+15,1.80463E+16,3.08311E+16,194749505789,151959051116,159617339735,335084608368,365896830574,3187637761,112281694765,133880490624,101610344953,1
593039603960396,1.37058E+16,2.35206E+15,178405714286,155617142857,146334285714,194631071203,520478044,516518902987,378812538776,270897394286,266791777143,0
722180790960452,1.56209E+16,2.87533E+16,183141778036,170443927949,18053747821,383587261099,15224443632,164086984025,147139186877,231783683905,269245383266,1
799.5,1.54304E+15,2.53621E+16,220863764045,185433988764,20169241573,234532102062,642573651399,863222821203,550053068978,412900897472,745153639045,1
9.4958E+15,1.7943E+16,3.15511E+16,234305545487,176439289598,231372598768,244145321904,149278584566,155325238402,596069382078,222840958101,241259296847,1
4.91407E+15,1.63114E+15,2537625,137966550523,180418118467,171155400697,337815321217,145059957567,142784184896,114119191249,210423912892,203873234564,1
634015625,1.47916E+16,237229,20803768997,177249240122,205223708207,456908846284,201536394022,198481880165,208765693813,406169181155,393950567538,1
9.12447E+15,1.62597E+15,3.07944E+16,234650411281,182289659224,231985898942,216939641721,127374573522,988305449532,470628081499,1622428198,976747661575,1
1.05382E+16,1.21378E+16,2.42185E+16,239207349081,844473607466,21194517352,181460454676,695603894099,150392927258,329278966113,483864777486,226180325693,0
8.40346E+15,1.73842E+16,2.73816E+16,233372484449,177394804244,235249908525,26410733127,179544061618,141930205118,697526824307,322360700622,201441831248,1
711625,1.78764E+16,3.10932E+15,189021233569,145182002022,173227502528,498766650818,32059070041,294962767749,248768171968,102778397189,870030343579,1
7.11774E+15,1.50511E+15,2.36153E+15,209682022472,193362921348,211602247191,340450958761,100933333265,115769477649,115906855321,10187537764,134025719551,1
963528,1.89023E+16,3.36705E+15,229157657658,189457726958,215314622315,263779191253,158659142273,196462829129,695794617382,251727234269,385976432294,1
5.51881E+15,1.46078E+15,2.25094E+15,162725314183,172797127469,166234290844,310631190703,992373997446,104552945922,964917366373,984806150808,109313185009,0
708140625,1541725,2.31241E+15,222941116751,202157360406,221068020305,333417405015,130451393597,11348323412,111167165967,170175660914,128784444264,1
6.74773E+15,1.37158E+16,2.33412E+15,221705185185,164148148148,219660740741,358038345112,168077136172,14691094647,128191456571,282499237037,215828261926,1
6.11414E+15,1.40868E+16,2.19172E+16,200092307692,188970414201,197728994083,373390161919,108030285585,126057801807,139420213018,116705426036,158905693964,1
1.10889E+16,1.47822E+16,3.66341E+16,2388699948,712433697348,238888715549,159791774722,100749099399,710491509539,255334112688,101503810296,504798185127,0
10135859375,1.91308E+15,3.26399E+16,229687706643,158029756537,22495852119,283958160768,201109474021,208683834446,806322370665,40445020541,435489427592,1
734.2,1.37883E+16,2.22375E+15,23867721519,162848101266,235782700422,219159602134,834555047065,801435734346,480309312076,696482126582,642299236287,1
8.2226E+15,1.75528E+16,26926015625,236336754836,16222147651,238368337939,241551419699,140445176196,122189579781,583470883587,197248475168,14930293407,1
44325,1.22875E+16,1.93122E+15,142689086294,152898477157,148402284264,316319014689,831757102869,881240872797,100057719054,691819878173,776585475888,0
8.13267E+15,1.75846E+16,2666.0,188028665932,165156560088,159187982359,23088064345,111604369849,119599619482,533058715199,124555353693,143040689802,1
8.66648E+15,1.54871E+16,2.29209E+16,232549006169,186152844414,233202878684,258934819966,115275796059,118999493609,67047240991,13288509157,141608794791,1
